关键词 词频 权重
尼玛 38 1
王尼玛 25 0.9358
尼玛 12 0.9139
大事件 14 0.8647
船员 8 0.8283
南方 8 0.7995
青蛙 8 0.7989
朋友 10 0.7938
迷信 7 0.7924
大头 6 0.7787
老子 6 0.776
刘亦菲 5 0.7726
老公 6 0.771
玄学 5 0.7654
宋承宪 6 0.7647
兄弟 6 0.7618
尸体 5 0.749
铁塔 4 0.7468
湘西 4 0.7375
故事 5 0.737
科学 5 0.732
性格 5 0.7308
爷爷 4 0.7306
员工 5 0.7289
大伯 4 0.7274
电影 5 0.7206
公路 4 0.7194
节目 4 0.7159
患者 4 0.7126
物理 4 0.7118
工资 4 0.7116
葬礼 3 0.7109
竹竿 3 0.7089
身体 4 0.7063
看上 3 0.7002
致富经 3 0.6994
变态 3 0.6992
瑞士 3 0.698
说说 3 0.6968
离去 3 0.6966
不由自主 3 0.6958
爸妈 3 0.6948
嘲笑 3 0.694
高二 3 0.6923
科学家 3 0.692
不小 3 0.6912
剧本 3 0.6903
梦想 3 0.6902
白天 3 0.6886
害怕 3 0.6872
遇到 3 0.6865
北方 3 0.6862
孩子 3 0.6852
快乐 3 0.685
不见 3 0.6848
真假 3 0.6837
消失 3 0.6828
陨石 3 0.6822
伤害 3 0.6819
头套 2 0.6816
网络 3 0.6808
谢谢 3 0.6806
女孩 3 0.6805
创作 3 0.6803
认同 3 0.6791
妈妈 3 0.6789
皮囊 3 0.6788
松土 2 0.6774
不治之症 2 0.6773
样子 3 0.6773
电池 3 0.6741
宽慰 2 0.6734
旅行 3 0.6733
扭曲 3 0.6727
养狗 2 0.6726
酸酸的 2 0.6708
龌龊 2 0.6701
神学 2 0.67
惨淡 2 0.67
天道 2 0.6699
特工 2 0.6684
过世 2 0.6676
乌龟 2 0.666
小包 2 0.6658
蜕变 2 0.6658
儿子 3 0.6653
肮脏 2 0.6643
吐槽 2 0.6637
被子 2 0.6634
假装 2 0.6633
健身 3 0.6631
病魔 2 0.6631
赶路 2 0.663
光照 2 0.6627
极致 2 0.6624
背着 2 0.6616
此病 2 0.6615
二月 2 0.6614
叔叔 2 0.6611
深知 2 0.661
有趣 3 0.661
上高 2 0.6609
考研 2 0.6603
同情 2 0.6598
遇见 2 0.6598
死去 2 0.6597
获利 2 0.6587
走来 2 0.6586
粉丝 2 0.6585
亲人 2 0.6584
战场 2 0.6582
平凡 2 0.6582
见证 2 0.6579
不公 2 0.6575
伤心 2 0.6571
女生 2 0.6564
寒假 2 0.6562
警察 2 0.6562
病症 2 0.656
起点 2 0.6554
小高 2 0.6552
抽搐 2 0.6549
南北方 2 0.6548
石料厂 2 0.6544
小说 2 0.6542
疯狂 2 0.654
单纯 2 0.6537
老天爷 2 0.6537
愚昧 2 0.6534
小姐 2 0.6528
一路 2 0.6527
定论 2 0.6519
身份 2 0.6516
采访 2 0.6516
心里 2 0.6508
老师 2 0.6507
年轻 2 0.6503
沦丧 2 0.65
职业 2 0.6495
游戏 3 0.6494
好看 3 0.6492
手机 2 0.6492
剪辑 2 0.6481
治疗 3 0.648
症状 2 0.6476
演技 2 0.6475
校园 2 0.6473
哥哥 2 0.647
睡着 2 0.6468
金科 2 0.646
