关键词 词频 权重
老师 51 1
尼玛 26 0.9417
木子 14 0.9057
学生 23 0.8972
王尼玛 19 0.8934
同学 19 0.8838
结婚 13 0.8442
学校 14 0.8392
尼玛 7 0.8267
孩子 11 0.8169
保健品 9 0.8077
反抗 8 0.8012
幼师 6 0.7902
父母 8 0.7851
听课 6 0.7724
欺负 6 0.7674
校园 7 0.7659
小学 7 0.7635
教育 8 0.7587
南昌 6 0.756
爸妈 5 0.7559
暴力 6 0.7497
心理 6 0.7483
老公 5 0.7408
上课 5 0.7399
奇葩 4 0.7363
外号 4 0.7351
太监 4 0.7338
婚礼 5 0.7312
耳光 4 0.7301
缺席 4 0.7299
南昌人 5 0.7295
遇到 5 0.7289
职业 5 0.7283
懂事 4 0.7269
鬼子 4 0.7256
记得 5 0.7251
骚扰 4 0.7246
漂亮 5 0.7221
正义 4 0.7204
未成年人 5 0.718
讨厌 4 0.7172
家长 4 0.7121
锁门 3 0.7115
伤害 4 0.7104
反锁 3 0.7104
女老师 3 0.7033
霸占 3 0.7031
助兴 3 0.703
羽毛球 3 0.6964
打球 3 0.6962
保护 4 0.6961
却说 3 0.6929
时代 4 0.6927
亲戚 3 0.6918
打扰 3 0.6912
大队长 3 0.6902
打人 3 0.6886
受害者 3 0.6885
欺凌 3 0.6884
可怕 3 0.686
女生 3 0.6855
回家 3 0.6825
室内 3 0.6824
场所 3 0.6813
语文 3 0.6813
老婆 3 0.6769
医生 3 0.676
工资 3 0.6754
未成年 3 0.6749
婚纱 3 0.6741
鼻音 2 0.6738
朋友 3 0.6727
老人 3 0.6716
头上 3 0.6713
一期 3 0.6711
皮诺 3 0.6711
刺死 2 0.6709
幸福 3 0.6707
老鼠 4 0.6705
穿山甲 2 0.67
乐清 3 0.6678
留名 2 0.6676
作业 3 0.6667
大事 3 0.6665
人妖 2 0.6659
铁质 2 0.6648
数学课 2 0.6639
酬劳 2 0.6633
体罚 2 0.6632
让位 2 0.6627
英语 3 0.6619
乖巧 2 0.6618
狠心 2 0.6614
淡漠 2 0.6614
人工智能 2 0.6612
听讲 2 0.6611
游遍 2 0.6611
了却 2 0.661
施暴者 3 0.6609
说真的 2 0.6609
人类 3 0.6607
家里人 2 0.66
惩罚 3 0.6597
幼小 2 0.6596
下课 2 0.6593
娘炮 2 0.6587
全班 2 0.6579
重罚 2 0.6575
千古 2 0.6564
逆行 2 0.6562
嘲笑 2 0.6561
婚庆 2 0.656
抢劫 2 0.6559
素质 3 0.6553
庆幸 2 0.6547
送礼 2 0.6546
亲情 2 0.654
酒席 2 0.6539
扭曲 2 0.6532
一中 2 0.6532
班主任 2 0.6529
宣传 3 0.652
医师 2 0.6517
算了 2 0.6516
侮辱 2 0.6514
说说 2 0.6512
车费 2 0.6506
下达 2 0.6506
长辈 2 0.6506
指令 2 0.6503
六月 2 0.6503
问问 2 0.6501
脆弱 2 0.65
女孩子 2 0.6498
不让 2 0.6497
女朋友 2 0.6497
香格里拉 2 0.6493
受伤 2 0.6493
花费 2 0.6492
阴阳人 2 0.6491
常宁 2 0.6484
家人 2 0.6483
冷暴力 2 0.6481
好处 2 0.648
初中 2 0.648
辅导 2 0.6478
回事 2 0.6476
铅笔盒 2 0.6475
湖南 2 0.6474
